Volcanic degassing: c12, 13C
5.40 6.0
Lithological distribution for CLIMBER Weathering Module
2 classes; units: fraction of ice-free area
Class 1: Carbonates
CO2 consumption coefficient
3.95E-12
===================
 0.38 0.00 0.00 0.00 0.00 0.00 0.61
 0.00 0.00 0.07 0.22 0.00 0.00 0.48
 0.00 0.04 0.08 0.21 0.00 0.03 0.17
 0.00 0.12 0.06 0.00 0.00 0.00 0.12
 0.00 0.22 0.08 0.00 0.00 0.00 0.17
 0.00 0.39 0.40 0.11 0.00 0.00 0.18
 0.00 0.22 0.12 0.64 0.00 0.00 0.35
 0.00 0.08 0.00 0.11 0.00 0.00 0.29
 0.00 0.15 0.00 0.10 0.00 0.00 0.02
 0.00 0.07 0.00 0.17 0.00 0.00 0.04
 0.00 0.12 0.00 0.01 0.00 0.00 0.09
 0.00 0.11 0.00 0.01 0.00 0.00 0.01
 0.00 0.00 0.00 0.13 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Class 2: Silicates
CO2 consumption coefficient
0.51E-12
==================
 0.62 0.00 0.00 0.00 0.00 0.00 0.39
 1.00 1.00 0.93 0.78 1.00 1.00 0.52
 1.00 0.96 0.92 0.79 1.00 0.97 0.83
 0.00 0.88 0.94 1.00 1.00 1.00 0.88
 0.00 0.78 0.92 1.00 0.00 1.00 0.83
 0.00 0.61 0.60 0.89 0.00 0.00 0.82
 0.00 0.78 0.88 0.36 0.00 0.00 0.65
 0.00 0.92 1.00 0.89 0.00 0.00 0.71
 0.00 0.85 1.00 0.90 0.00 0.00 0.98
 0.00 0.93 0.00 0.83 0.00 0.00 0.96
 0.00 0.88 0.00 0.99 0.00 0.00 0.91
 0.00 0.89 0.00 0.99 0.00 0.00 0.99
 0.00 1.00 0.00 0.87 1.00 0.00 1.00
 0.00 0.00 0.00 1.00 1.00 0.00 1.00
 0.00 0.00 0.00 0.00 0.00 0.00 1.00
 0.00 1.00 1.00 1.00 0.00 0.00 1.00
 1.00 1.00 1.00 1.00 1.00 1.00 1.00
 1.00 0.00 0.00 1.00 1.00 1.00 1.00
Class 1S: Carbonates on the Shelf
=================================
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 1.00 1.00 1.00 0.00 0.00 1.00
 0.00 1.00 1.00 1.00 0.00 0.00 1.00
 0.00 1.00 1.00 1.00 0.00 0.00 1.00
 0.00 1.00 0.00 1.00 0.00 0.00 1.00
 0.00 1.00 0.00 1.00 0.00 0.00 1.00
 0.00 1.00 0.00 1.00 0.00 0.00 1.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Class 2S: Silicates on the Shelf
================================
 1.00 0.00 0.00 0.00 0.00 0.00 1.00
 1.00 1.00 1.00 1.00 1.00 1.00 1.00
 1.00 1.00 1.00 1.00 1.00 1.00 1.00
 0.00 1.00 1.00 1.00 1.00 1.00 1.00
 0.00 1.00 1.00 1.00 0.00 1.00 1.00
 0.00 1.00 1.00 1.00 1.00 0.00 1.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 0.00 1.00 0.00 1.00 1.00 0.00 1.00
 0.00 0.00 0.00 1.00 1.00 0.00 1.00
 0.00 0.00 0.00 0.00 0.00 0.00 1.00
 0.00 1.00 1.00 1.00 0.00 0.00 1.00
 1.00 1.00 1.00 1.00 1.00 1.00 1.00
 1.00 1.00 1.00 1.00 1.00 1.00 1.00
